Rank,Team,Rating,Month,Year
7,Sri Lanka,70,10,1986
1,West Indies,137,0,1987
2,Pakistan,121,0,1987
3,Australia,103,0,1987
4,England,101,0,1987
5,India,97,0,1987
6,New Zealand,91,0,1987
7,Sri Lanka,75,0,1987
1,West Indies,130,1,1987
2,Pakistan,119,1,1987
3,England,114,1,1987
4,Australia,107,1,1987
5,India,99,1,1987
6,New Zealand,91,1,1987
7,Sri Lanka,69,1,1987
1,West Indies,126,2,1987
2,England,121,2,1987
3,Pakistan,120,2,1987
4,Australia,107,2,1987
5,India,98,2,1987
6,New Zealand,91,2,1987
7,Sri Lanka,69,2,1987
1,West Indies,127,3,1987
2,Pakistan,120,3,1987
3,England,118,3,1987
4,Australia,107,3,1987
5,India,100,3,1987
6,New Zealand,89,3,1987
7,Sri Lanka,69,3,1987
1,West Indies,127,4,1987
2,England,123,4,1987
3,Pakistan,120,4,1987
4,Australia,104,4,1987
5,India,100,4,1987
6,New Zealand,89,4,1987
7,Sri Lanka,69,4,1987
1,England,130,5,1987
2,West Indies,123,5,1987
3,Pakistan,121,5,1987
4,Australia,102,5,1987
5,India,100,5,1987
6,New Zealand,87,5,1987
7,Sri Lanka,67,5,1987
1,England,130,6,1987
2,West Indies,123,6,1987
3,Pakistan,122,6,1987
4,Australia,102,6,1987
5,India,100,6,1987
6,New Zealand,87,6,1987
7,Sri Lanka,66,6,1987
1,England,130,7,1987
2,Pakistan,124,7,1987
3,West Indies,120,7,1987
4,Australia,107,7,1987
5,India,103,7,1987
6,New Zealand,76,7,1987
7,Sri Lanka,62,7,1987
1,England,133,8,1987
2,West Indies,121,8,1987
3,Pakistan,120,8,1987
4,Australia,110,8,1987
5,India,101,8,1987
6,New Zealand,76,8,1987
7,Sri Lanka,62,8,1987
1,England,133,0,1988
2,Pakistan,120,0,1988
3,West Indies,120,0,1988
4,Australia,110,0,1988
5,India,103,0,1988
6,New Zealand,76,0,1988
7,Sri Lanka,62,0,1988
1,England,130,1,1988
2,West Indies,124,1,1988
3,Pakistan,120,1,1988
4,Australia,113,1,1988
5,India,98,1,1988
6,New Zealand,77,1,1988
7,Sri Lanka,59,1,1988
1,England,130,2,1988
2,West Indies,124,2,1988
3,Pakistan,120,2,1988
4,Australia,113,2,1988
5,India,98,2,1988
6,New Zealand,77,2,1988
7,Sri Lanka,59,2,1988
1,West Indies,130,3,1988
2,England,125,3,1988
3,Pakistan,114,3,1988
4,Australia,113,3,1988
5,India,100,3,1988
6,New Zealand,83,3,1988
7,Sri Lanka,57,3,1988
1,West Indies,129,4,1988
2,England,127,4,1988
3,Pakistan,114,4,1988
4,Australia,113,4,1988
5,India,100,4,1988
6,New Zealand,83,4,1988
7,Sri Lanka,57,4,1988
1,England,131,5,1988
2,West Indies,127,5,1988
3,Australia,116,5,1988
4,Pakistan,110,5,1988
5,India,102,5,1988
6,New Zealand,81,5,1988
7,Sri Lanka,54,5,1988
1,England,132,6,1988
2,West Indies,127,6,1988
3,Australia,116,6,1988
4,Pakistan,110,6,1988
5,India,102,6,1988
6,New Zealand,81,6,1988
7,Sri Lanka,53,6,1988
1,England,132,7,1988
2,West Indies,127,7,1988
3,Australia,113,7,1988
4,Pakistan,113,7,1988
5,India,102,7,1988
6,New Zealand,81,7,1988
7,Sri Lanka,53,7,1988
1,England,132,8,1988
2,West Indies,124,8,1988
3,Australia,113,8,1988
4,Pakistan,109,8,1988
5,India,101,8,1988
6,New Zealand,81,8,1988
7,Sri Lanka,63,8,1988
1,England,132,9,1988
2,West Indies,125,9,1988
3,Australia,113,9,1988
4,Pakistan,108,9,1988
5,India,101,9,1988
6,New Zealand,81,9,1988
7,Sri Lanka,63,9,1988
1,England,132,0,1989
2,West Indies,130,0,1989
3,Australia,112,0,1989
4,India,105,0,1989
5,Pakistan,104,0,1989
6,New Zealand,75,0,1989
7,Sri Lanka,63,0,1989
1,England,132,1,1989
2,West Indies,125,1,1989
3,Australia,117,1,1989
4,India,105,1,1989
5,Pakistan,103,1,1989
6,New Zealand,79,1,1989
7,Sri Lanka,63,1,1989
1,England,132,2,1989
2,West Indies,125,2,1989
3,Australia,117,2,1989
4,India,105,2,1989
5,Pakistan,101,2,1989
6,New Zealand,83,2,1989
7,Sri Lanka,63,2,1989
1,England,134,3,1989
2,West Indies,128,3,1989
3,Australia,116,3,1989
4,India,101,3,1989
5,Pakistan,99,3,1989
6,New Zealand,87,3,1989
7,Sri Lanka,62,3,1989
1,West Indies,129,4,1989
2,England,127,4,1989
3,Australia,123,4,1989
4,India,100,4,1989
5,Pakistan,93,4,1989
6,New Zealand,88,4,1989
7,Sri Lanka,63,4,1989
1,West Indies,130,5,1989
2,England,127,5,1989
3,Australia,123,5,1989
4,India,99,5,1989
5,Pakistan,93,5,1989
6,New Zealand,88,5,1989
7,Sri Lanka,63,5,1989
1,West Indies,119,6,1989
2,England,119,6,1989
3,Australia,116,6,1989
4,Pakistan,112,6,1989
5,India,101,6,1989
